trialnum,num1,num2,num3
1,1,0,0
2,0,2,0
3,0,0,3
4,1,0,0
5,0,0,3
6,0,2,0
7,0,0,3
8,0,2,0
9,1,0,0
10,0,2,0
11,1,0,0
12,0,0,3
13,1,0,0
14,0,0,3
15,0,2,0
16,0,0,3
17,1,0,0
18,0,2,0
19,0,0,3
20,1,0,0
21,0,2,0
22,1,0,0
23,0,2,0
24,0,0,3
25,1,0,0
26,0,2,0
27,1,0,0
28,0,0,3
29,0,2,0
30,1,0,0
31,0,0,3
32,0,2,0
33,1,0,0
34,0,2,0
35,1,0,0
36,0,0,3
37,1,0,0
38,0,2,0
39,0,0,3
40,0,2,0
41,1,0,0
42,0,2,0
43,1,0,0
44,0,0,3
45,0,2,0
46,0,0,3
47,1,0,0
48,0,2,0
49,1,0,0
50,0,2,0
