trialnum,num1,num2,num3
1,3,1,1
2,1,3,1
3,2,1,2
4,2,2,1
5,3,3,2
6,2,3,2
7,3,3,2
8,2,3,2
9,1,1,2
10,3,3,1
11,3,1,3
12,2,3,2
13,2,1,2
14,2,3,2
15,2,1,1
16,1,1,2
17,3,3,2
18,3,2,2
19,3,3,2
20,1,3,1
21,3,3,2
22,2,1,2
23,2,3,3
24,2,1,2
25,1,1,2
26,3,3,2
27,2,3,2
28,3,3,2
29,2,1,1
30,3,2,2
31,3,3,2
32,3,3,1
33,3,2,2
34,3,3,1
35,2,1,1
36,3,1,3
37,2,1,2
38,3,3,1
39,1,1,2
40,3,3,2
41,3,1,1
42,2,2,1
43,2,1,1
44,2,3,3
45,3,3,2
46,2,2,1
47,2,3,2
48,1,3,1
49,3,3,1
50,3,1,3
