target,targetcolor,w1,w1color,w2,w2color,w3,w3color,w4,w4color,corrAns
red,red,green,red,red,red,blue,red,yellow,red,2
red,red,blue,red,red,red,green,red,yellow,red,2
red,red,blue,red,green,red,yellow,red,red,red,4
red,red,red,red,green,red,yellow,red,blue,red,1
red,red,green,red,yellow,red,red,red,blue,red,3
red,red,yellow,red,blue,red,green,red,red,red,4
red,red,yellow,red,blue,red,red,red,green,red,3
red,red,red,red,yellow,red,blue,red,green,red,1
blue,blue,yellow,blue,green,blue,red,blue,blue,blue,4
blue,blue,red,blue,green,blue,blue,blue,yellow,blue,3
blue,blue,blue,blue,red,blue,green,blue,yellow,blue,1
blue,blue,blue,blue,yellow,blue,red,blue,green,blue,1
blue,blue,red,blue,yellow,blue,blue,blue,green,blue,3
blue,blue,green,blue,red,blue,yellow,blue,blue,blue,4
blue,blue,green,blue,blue,blue,yellow,blue,red,blue,2
blue,blue,yellow,blue,blue,blue,green,blue,red,blue,2
green,green,yellow,green,blue,green,red,green,green,green,4
green,green,blue,green,yellow,green,red,green,green,green,4
green,green,green,green,red,green,yellow,green,blue,green,1
green,green,yellow,green,green,green,blue,green,red,green,2
green,green,green,green,yellow,green,blue,green,red,green,1
green,green,red,green,green,green,yellow,green,blue,green,2
green,green,red,green,blue,green,green,green,yellow,green,3
green,green,blue,green,red,green,green,green,yellow,green,3
yellow,yellow,yellow,yellow,green,yellow,blue,yellow,red,yellow,1
yellow,yellow,green,yellow,yellow,yellow,blue,yellow,red,yellow,2
yellow,yellow,blue,yellow,green,yellow,red,yellow,yellow,yellow,4
yellow,yellow,blue,yellow,red,yellow,green,yellow,yellow,yellow,4
yellow,yellow,red,yellow,blue,yellow,yellow,yellow,green,yellow,3
yellow,yellow,yellow,yellow,blue,yellow,red,yellow,green,yellow,1
yellow,yellow,red,yellow,yellow,yellow,green,yellow,blue,yellow,2
yellow,yellow,green,yellow,red,yellow,yellow,yellow,blue,yellow,3
